Magical Recipe Name,Magical Effect,Magical Ingredients,Required Spells,Cooking Steps,Special Notes
Invisibility Potion Surprise,Temporary invisibility,"[""1/2 c. cake flour"", ""1 tsp. baking powder"", ""1/4 c. cocoa"", ""1/4 tsp. salt"", ""4 eggs"", ""3/4 tsp. sugar"", ""1 tsp. vanilla"", ""2 Tbsp. water""], Invisibility Potion",Tarantallegra,"[""Sift flour and measure; add baking powder, cocoa and salt. Sift again."", ""Beat in half the sugar a little at a time."", ""Beat until smooth and glossy."", ""Beat egg yolks until thick and lemon-colored; add remaining sugar and vanilla."", ""Continue beating until very thick; slowly add water, stirring constantly."", ""Gently fold in beaten whites; gradually fold in dry ingredients."", ""Turn into shallow oblong pan about 15 1/2 x 10 1/2 x 1-inch."", ""Line with wax paper."", ""Bake under a charm at 375\u00b0 for 15 to 20 minutes."", ""Turn out on clean towel and roll up."", ""Cool.""]",Handle Invisibility Potion with care due to its temporary invisibility.
Deflating Draught Surprise,Deflated the target,"[""4 1/2 c. 1 Kings 4:22 (flour)"", ""1 c. Judges 5:25 (last clause; butter)"", ""2 c. Jeremiah 6:20 (sugar)"", ""2 c. 1 Samuel 30:12 (raisins)"", ""2 c. Nahum 3:12 (figs)"", ""2 c. Numbers 17:8 (almonds)"", ""3 Tbsp. 1 Samuel 14:25 (honey)"", ""2 Tbsp. Amos 4:5 (baking powder)"", ""1/2 c. Judges 4:19 (last clause; milk)"", ""6 Jeremiah 17:11 (eggs)"", ""pinch of Leviticus 2:13 (salt)"", ""2 Chronicles 9:9 (spice) or 1 tsp. allspice""], Deflating Draught",Ferula,"[""Follow Solomon's advice for making good boys and you will have a good cake (Proverbs 23:14 - beat well)."", ""Cream butter, sugar and honey until well blended."", ""Add eggs, one at a time, beating well after each addition."", ""Sift flour."", ""Measure and sift 4 1/2 cups together with dry ingredients."", ""Cut raisins, figs and almonds; set aside after rolling in flour."", ""Add dry ingredients alternately with milk to creamed mixture."", ""Blend and beat well."", ""Fold in fruit and nuts."", ""(Add 1 teaspoon vanilla, if desired.)"", ""Turn batter into greased tube pan or rectangular pan."", ""Bake under a charm at 325\u00b0 for 1 hour and 35 to 40 minutes."", ""Cool slightly and remove from pan.""]",Handle Deflating Draught with care due to its deflated the target.
Cough Potion Surprise,Cured coughing,"[""2 eggs"", ""2 c. sugar"", ""2 tsp. vanilla"", ""4 c. diced, peeled apples"", ""1/2 c. vegetable oil"", ""1 c. chopped walnuts"", ""2 c. flour"", ""2 tsp. baking soda"", ""2 tsp. cinnamon"", ""3/4 tsp.salt""], Cough Potion",Ferula,"[""Mix flour, baking soda, cinnamon and salt in a large bowl. In another bowl break eggs over apples; add sugar, oil, vanilla and nuts."", ""Mix well."", ""Add flour mixture slowly to apple mixture. Pour into greased and floured pan (9 x 13-inches)."", ""Bake under a charm at 325\u00b0 for 1 hour.""]",Handle Cough Potion with care due to its cured coughing.
Fire-Breathing Potion Surprise,Makes a human breath fire,"[""1 (3 oz.) pkg. cream cheese"", ""1 (8 oz.) pkg. sour cream"", ""1 (10 oz.) can tomato soup"", ""1 Tbsp. mustard with horseradish"", ""1 (6 oz.) jar cocktail franks, diced"", ""dash of Tabasco""], Fire-Breathing Potion",Diffindo,"[""Combine cream cheese and sour cream until smooth."", ""Add remaining ingredients."", ""Chill until served.""]",Handle Fire-Breathing Potion with care due to its makes a human breath fire.
Focus Potion Surprise,Reduced cooldown effect of spells cast,"[""2 c. flour"", ""1 c. sugar"", ""2 Tbsp. cocoa"", ""1 tsp. baking soda"", ""1/2 c. mayonnaise"", ""1 c. cool water"", ""1 tsp. vanilla""], Focus Potion",Oculus Reparo,"[""Mix flour, sugar, cocoa and baking soda."", ""Blend in remaining ingredients."", ""Preheat oven to 350\u00b0."", ""Bake under a charm 30 to 35 minutes by inserting toothpick into center."", ""When clean when pulled out tells you it's ready."", ""Let cool and remove from pans."", ""Great by itself or you may add frosting or icing of your choice.""]",Handle Focus Potion with care due to its reduced cooldown effect of spells cast.
Hair-Raising Potion Surprise,Raises hair up on end,"[""1 (7 3/4 oz.) can salmon"", ""8 soda crackers, crumbled"", ""1 egg"", ""1 Tbsp. onion, grated"", ""1 Tbsp. parsley"", ""1/4 to 1 tsp. dry mustard"", ""salt"", ""celery, chopped"", ""1 Tbsp. lemon juice""], Hair-Raising Potion",Sectumsempra,"[""Drain salmon, reserving liquid."", ""Flake and clean salmon and blend it with the reserved liquid and the remaining ingredients. Add more crackers or another egg if the consistency will not make firm patties."", ""After you make the patties, fry them in a skillet. Fry with 2 or 3 tablespoons melted butter."", ""Brown on both sides. Serve with sliced lemon wedges.""]",Handle Hair-Raising Potion with care due to its raises hair up on end.
Bruise removal paste Surprise,Healed bruises in an hour,"[""6 chicken breasts"", ""1 large onion, chopped"", ""2 garlic cloves, minced"", ""1 (16 oz.) can tomatoes"", ""1 can cream of mushroom soup"", ""salt and pepper to taste"", ""1 stick margarine"", ""1 c. celery, chopped"", ""1 large green pepper"", ""1 (6 oz.) can tomato paste"", ""3 Tbsp. chili powder"", ""1 (8 oz.) pkg. spaghetti"", ""1 1/2 c. grated sharp Cheddar cheese""], Bruise removal paste",Oppugno,"[""Boil chicken breasts (preferably in a pressure cooker) for 25 minutes."", ""Let cool and remove skin and fat."", ""Cut in bite-size pieces and set aside.""]",Handle Bruise removal paste with care due to its healed bruises in an hour.
Laugh-inducing Potion Surprise,Provoked uncontrollable laughter,"[""1 (8 oz.) pkg. cream cheese (room temperature)"", ""1 (1 lb.) pkg. bulk sausage"", ""1 green pepper, diced"", ""tortilla chips"", ""1 jar of your favorite salsa"", ""1 medium onion, diced"", ""1 lb. Provolone cheese, shredded""], Laugh-inducing Potion",Periculum,"[""Fry and crumble sausage."", ""Spread cream cheese onto pizza pan. Cover with salsa followed by sausage, onion, green pepper and cheese."", ""Scoop up onto tortilla chips to serve.""]",Handle Laugh-inducing Potion with care due to its provoked uncontrollable laughter.
Calming Draught Surprise,Calms the drinker,"[""8 sweet potatoes, pared and cut up"", ""1/2 tsp. nutmeg"", ""1/2 tsp. cinnamon"", ""1/4 tsp. salt"", ""4 Tbsp. vegetable oil"", ""1/3 c. sugar"", ""1/3 c. dark brown sugar"", ""14 large marshmallows"", ""1/2 c. pecan halves""], Calming Draught",Fidelius Charm,"[""Boil sweet potatoes for 30 minutes or until tender."", ""Mash. Add remaining ingredients, except marshmallows and pecans."", ""Spoon mixture into greased casserole, cover with marshmallows and sprinkle with pecan halves."", ""Bake under a charm at 350\u00b0 for 30 minutes."", ""Serve immediately.""]",Handle Calming Draught with care due to its calms the drinker.
Emerald Potion Surprise,"Induced fear, delirium, intense stomach pain and extreme thirst in the drinker","[""2 Tbsp. oil"", ""1 1/2 lb. hamburger"", ""1 onion, grated"", ""1 potato, grated"", ""1 egg"", ""salt"", ""pepper"", ""2 cans cream of mushroom soup"", ""1 c. milk""], Emerald Potion",Sonorus,"[""Mix hamburger, onion, potato, egg, salt and pepper."", ""Make meatballs and brown in oil."", ""Remove and place in a 9 x 13-inch pan. Mix soup and milk."", ""Pour over meatballs and bake at 350\u00b0 for about 45 minutes.""]","Handle Emerald Potion with care due to its induced fear, delirium, intense stomach pain and extreme thirst in the drinker."
Alihotsy Draught Surprise,Uncontrollable laughter,"[""1/2 c. butter"", ""2 c. onions, diced"", ""1 beef or chicken bouillon cube"", ""1 tsp. garlic powder"", ""1 tsp. seasoned pepper"", ""1 lb. fresh mushrooms, rinsed and dried"", ""1/4 c. red wine""], Alihotsy Draught",Levicorpus,"[""Micromelt butter in a 2-quart glass dish on High for 1 minute. Saute onion, bouillon cube, garlic powder and pepper in butter. Cover and cook on High for 8 minutes."", ""Stir after half the time. Add mushrooms and wine; cover."", ""Enchant with Levicorpus, then cook on High for 5 minutes.""]",Handle Alihotsy Draught with care due to its uncontrollable laughter.
Deflating Draught Surprise,Deflated the target,"[""1 1/2 c. graham cracker crumbs, finely crushed"", ""1/2 c. soda cracker crumbs"", ""1/2 c. oleo, melted"", ""2 pkg. vanilla instant pudding"", ""2 c. milk"", ""1 qt. vanilla ice cream, softened"", ""1 (4 1/2 oz.) tub Cool Whip"", ""2 Butterfinger candy bars, crushed""], Deflating Draught",Alohomora,"[""Mix the first 3 ingredients and pat into a 9 x 13-inch dish.""]",Handle Deflating Draught with care due to its deflated the target.
Befuddlement Draught Surprise,Recklessness,"[""1 pkg. each: strawberry and cherry Kool-Aid"", ""1/2 c. sugar or to taste"", ""6 oz. frozen lemonade"", ""6 oz. frozen orange juice""], Befuddlement Draught",Impervius,"[""Mix frozen juices according to directions."", ""Add other ingredients and stir until dissolved."", ""Stir into 2 quarts of cold water."", ""Chill."", ""When ready to serve, add 1 bottle ginger ale. Makes 1 gallon.""]",Handle Befuddlement Draught with care due to its recklessness.
Hiccoughing Solution Surprise,Presumably causes hiccoughs,"[""2 c. sugar"", ""1/2 c. cocoa"", ""1 tsp. salt"", ""5 Tbsp. cornstarch"", ""2 Tbsp. flour"", ""5 egg yolks"", ""4 c. milk"", ""2 tsp. vanilla""], Hiccoughing Solution",Ferula,"[""Mix together in saucepan everything except egg yolks."", ""Beat egg yolks and add to mixture."", ""Enchant with Ferula, then cook over medium heat until thick. Pour in baked pie shells."", ""Two-pie recipe.""]",Handle Hiccoughing Solution with care due to its presumably causes hiccoughs.
Elixir of Life Surprise,Immortality,"[""1 lb. boneless chicken, cut up into cubes"", ""1 box frozen chopped broccoli, thawed"", ""1 can cream of mushroom soup"", ""1 c. sour cream"", ""1/2 lb. Velveeta cheese, cubed"", ""2 c. Pepperidge Farm bread crumbs""], Elixir of Life",Homonculus Charm,"[""In greased casserole dish, mix chicken, broccoli, soup, sour cream, 1/2 cheese and 1 cup bread crumbs."", ""Spread evenly."", ""Top with remainder of cheese and bread crumbs."", ""Bake under a charm at 350\u00b0 for approximately 1 hour.""]",Handle Elixir of Life with care due to its immortality.
Love potion Surprise,Infatuation with whoever offered the potion,"[""1 pkg. Pillsbury Plus yellow cake mix (pudding in the mix)"", ""1 pkg. Royal pistachio instant pudding"", ""1 (8 oz.) container sour cream"", ""4 eggs"", ""1/4 c. cold water"", ""1/4 c. Mazola or Wesson oil""], Love potion",Incendio,"[""Beat all together for 2 to 3 minutes.""]",Handle Love potion with care due to its infatuation with whoever offered the potion.
Ageing Potion Surprise,Aged drinker temporarily,"[""1/2 stick oleo"", ""1 c. flour (self-rising)"", ""1/2 c. sour cream""], Ageing Potion",Sonorus,"[""Mix all ingredients together."", ""Drop out on cookie sheet by tablespoon or pour into muffin cups."", ""Makes 12 muffins."", ""Bake under a charm at 400\u00b0 for 15 minutes.""]",Handle Ageing Potion with care due to its aged drinker temporarily.
Madame Glossy's Silver Polish Surprise,Polished silver objects,"[""1 stick butter"", ""3 pkg. frozen broccoli"", ""2 beaten eggs"", ""1 c. sharp Cheddar cheese, grated"", ""1 c. mayonnaise"", ""2 small chopped onions"", ""1 can cream of mushroom soup"", ""1 1/2 pkg. crushed Ritz crackers""], Madame Glossy's Silver Polish",Glisseo,"[""Enchant with Glisseo, then cook and drain broccoli as directed on package."", ""Stir and mix butter, eggs, cheese, mayonnaise, onions, soup and broccoli. Place in long baking dish."", ""Cover with crushed crackers. Bake under a charm for 20 minutes at 400\u00b0.""]",Handle Madame Glossy's Silver Polish with care due to its polished silver objects.
Dogbane Potion Surprise,Poisonous to dogs (possibly),"[""1 can crushed pineapple (dry or juicy)"", ""2 c. lo-fat plain yogurt"", ""1 pkg. Jell-O pistachio sugar-free pudding""], Dogbane Potion",Stupefy,"[""Stir together; pour into dessert dishes and cool."", ""Makes four servings.""]",Handle Dogbane Potion with care due to its poisonous to dogs (possibly).
Amortentia Surprise,Love potion that caused a powerful infatuation or obsession in the drinker,"[""1 lb. crushed graham crackers"", ""1 lb. chopped dates"", ""1 lb. miniature marshmallows"", ""1 c. thick cream"", ""1 tsp. vanilla"", ""dash of salt""], Amortentia",Piertotum Locomotor,"[""Cream a little tolerance""]",Handle Amortentia with care due to its love potion that caused a powerful infatuation or obsession in the drinker.
Bulgeye Potion Surprise,Causes eyes to bulge (presumably),"[""1 1/2 c. cold coffee"", ""1 1/2 c. cold chocolate ice cream"", ""1/4 c. Hershey's syrup"", ""whipped cream""], Bulgeye Potion",Capacious Extremis,"[""In blender container, place all ingredients except whipped cream."", ""Cover; blend until smooth."", ""Serve immediately over crushed ice."", ""Garnish with whipped cream."", ""Makes about 4 (6 ounce) servings.""]",Handle Bulgeye Potion with care due to its causes eyes to bulge (presumably).
Grand Pepperup Potion Surprise,Relieved and/or cured cold symptoms,"[""3 (6 oz.) each cans frozen lemonade concentrate"", ""1 (10 oz.) pkg. frozen strawberries, thawed"", ""1 qt. ginger ale, chilled""], Grand Pepperup Potion",Obscuro,"[""In large bowl, prepare lemonade concentrate as directed on can."", ""Stir in strawberries with syrup."", ""Stir in ginger ale and, if you wish, add small scoops of strawberry ice cream or ice cubes.""]",Handle Grand Pepperup Potion with care due to its relieved and/or cured cold symptoms.
Drowsiness Draught Surprise,Induces drowsiness,"[""2 lb. ground beef"", ""1/2 c. onion, chopped"", ""2 celery ribs with leaves, chopped"", ""1/4 c. green pepper, chopped"", ""1 2/3 c. canned crushed tomatoes"", ""1/4 c. catsup"", ""2 Tbsp. brown sugar"", ""1 Tbsp. vinegar"", ""1 Tbsp. Worcestershire sauce"", ""1 Tbsp. steak sauce"", ""1/2 tsp. garlic salt"", ""1/4 tsp. ground mustard"", ""1/4 tsp. paprika"", ""8-10 hamburger buns""], Drowsiness Draught",Unbreakable Vow,"[""In a Dutch oven, over medium heat, cook beef, onion, celery, and green pepper until meat is no longer pink, and the vegetables are tender."", ""Drain."", ""Add the next nine ingredients."", ""Mix well. Simmer uncovered for 35 to 40 minutes, stirring occasionally. Spoon 1/2 cup meat mixture onto each bun."", ""Serves 8-10.""]",Handle Drowsiness Draught with care due to its induces drowsiness.
Everlasting Elixirs Surprise,Permanent magical effects,"[""2 lb. ground beef"", ""2 cans taco sauce"", ""1 can enchilada sauce"", ""1 can green chilies"", ""1 pkg. Cheddar cheese"", ""1 onion, chopped"", ""1 pkg. corn tortillas""], Everlasting Elixirs",Homenum Revelio,"[""Brown hamburger in pan and drain grease."", ""Add taco sauce, enchilada sauce and green chilies; let simmer."", ""Grate cheese and chop onion."", ""Put hamburger mixture, cheese and onion inside each corn tortilla (frozen type)."", ""Put in 13 x 9 1/2-inch cake pan."", ""Put a layer of hamburger mixture on bottom, then add cheese and onion on top."", ""Bake under a charm in oven at 425\u00b0 until cheese melts, about 10 minutes.""]",Handle Everlasting Elixirs with care due to its permanent magical effects.
Alihotsy Draught Surprise,Uncontrollable laughter,"[""1 can golden crushed corn"", ""2 eggs, slightly beaten"", ""2 Tbsp. flour"", ""1 Tbsp. sugar"", ""1 c. half and half"", ""1/2 stick butter"", ""salt"", ""lots of pepper"", ""sprinkle of paprika""], Alihotsy Draught",Ferula,"[""Melt butter in casserole."", ""Beat eggs."", ""Add flour, sugar, salt and pepper."", ""Add corn; mix well with electric mixer."", ""Add butter (that melted) and half and half; mix well."", ""Pour into casserole. Sprinkle paprika on top."", ""Bake under a charm at 325\u00b0 for an hour (it should jiggle and a knife should come out kinda clean).""]",Handle Alihotsy Draught with care due to its uncontrollable laughter.
